,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__binarize,param_classifier__fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3030431270599365,0.011791186966468522,0.06233844757080078,0.011646044707587976,0.01,0.0,False,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.0, 'classifier__fit_prior': False}",0.9845261121856866,0.9888781431334622,0.9820996613449444,0.918722786647315,0.8863086598935656,0.9521070726409947,0.04182487967398222,4
1,0.29403018951416016,0.04093526168410667,0.06883063316345214,0.012412369978207759,0.01,0.0,True,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.0, 'classifier__fit_prior': True}",0.9850096711798839,0.9898452611218569,0.9825834542815675,0.9211417513304305,0.8950169327527818,0.9547194141333041,0.03903735455762909,1
2,0.27883152961730956,0.057745127191914755,0.06253256797790527,0.008782714015550844,0.01,0.1,False,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.1, 'classifier__fit_prior': False}",0.9845261121856866,0.9888781431334622,0.9820996613449444,0.918722786647315,0.8863086598935656,0.9521070726409947,0.04182487967398222,4
3,0.27428388595581055,0.034490874000566496,0.05887360572814941,0.016955034230390017,0.01,0.1,True,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.1, 'classifier__fit_prior': True}",0.9850096711798839,0.9898452611218569,0.9825834542815675,0.9211417513304305,0.8950169327527818,0.9547194141333041,0.03903735455762909,1
4,0.27112250328063964,0.01863041099144921,0.060883092880249026,0.007442960828943166,0.01,0.5,False,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.5, 'classifier__fit_prior': False}",0.9845261121856866,0.9888781431334622,0.9820996613449444,0.918722786647315,0.8863086598935656,0.9521070726409947,0.04182487967398222,4
5,0.3173572540283203,0.042184103861503966,0.06497707366943359,0.015006674971136693,0.01,0.5,True,"{'classifier__alpha': 0.01, 'classifier__binarize': 0.5, 'classifier__fit_prior': True}",0.9850096711798839,0.9898452611218569,0.9825834542815675,0.9211417513304305,0.8950169327527818,0.9547194141333041,0.03903735455762909,1
6,0.3202360153198242,0.050633351821445655,0.07439608573913574,0.025737723317826117,0.01,,False,"{'classifier__alpha': 0.01, 'classifier__binarize': None, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
7,0.283325719833374,0.020539632803707065,0.059412574768066405,0.010835225585866207,0.01,,True,"{'classifier__alpha': 0.01, 'classifier__binarize': None, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
8,0.2821970462799072,0.022216078846134694,0.0673856258392334,0.013684672092215704,0.1,0.0,False,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.0, 'classifier__fit_prior': False}",0.9830754352030948,0.9845261121856866,0.9666182873730044,0.8925979680696662,0.8940493468795355,0.9441734299421976,0.041995067741080506,10
9,0.2652179718017578,0.017579825992222593,0.06319723129272461,0.017508758350603046,0.1,0.0,True,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.0, 'classifier__fit_prior': True}",0.9811411992263056,0.9835589941972921,0.9656507014997581,0.8945331398161587,0.8988872762457668,0.9447542621970563,0.03973013748016752,7
10,0.26253662109375,0.025580050203274505,0.05835251808166504,0.015232643828936705,0.1,0.1,False,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.1, 'classifier__fit_prior': False}",0.9830754352030948,0.9845261121856866,0.9666182873730044,0.8925979680696662,0.8940493468795355,0.9441734299421976,0.041995067741080506,10
11,0.27217445373535154,0.01458569470680152,0.05408411026000977,0.00748844498608532,0.1,0.1,True,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.1, 'classifier__fit_prior': True}",0.9811411992263056,0.9835589941972921,0.9656507014997581,0.8945331398161587,0.8988872762457668,0.9447542621970563,0.03973013748016752,7
12,0.27283658981323244,0.020498647797255493,0.05937180519104004,0.015219937956418544,0.1,0.5,False,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.5, 'classifier__fit_prior': False}",0.9830754352030948,0.9845261121856866,0.9666182873730044,0.8925979680696662,0.8940493468795355,0.9441734299421976,0.041995067741080506,10
13,0.26952176094055175,0.01678219695718435,0.05787816047668457,0.008810565729989148,0.1,0.5,True,"{'classifier__alpha': 0.1, 'classifier__binarize': 0.5, 'classifier__fit_prior': True}",0.9811411992263056,0.9835589941972921,0.9656507014997581,0.8945331398161587,0.8988872762457668,0.9447542621970563,0.03973013748016752,7
14,0.2863770008087158,0.016966392320633027,0.05585966110229492,0.0124728576479095,0.1,,False,"{'classifier__alpha': 0.1, 'classifier__binarize': None, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
15,0.25875701904296877,0.011269708751639398,0.05141010284423828,0.013463653137123631,0.1,,True,"{'classifier__alpha': 0.1, 'classifier__binarize': None, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
16,0.25712060928344727,0.0083133812605481,0.05181121826171875,0.005872827647431391,0.5,0.0,False,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.0, 'classifier__fit_prior': False}",0.8945841392649904,0.8849129593810445,0.8272859216255443,0.5834542815674891,0.7561683599419449,0.7892811323562026,0.1141399858192617,13
17,0.2535161018371582,0.021471473539795165,0.05588693618774414,0.00648558056147454,0.5,0.0,True,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.0, 'classifier__fit_prior': True}",0.8878143133462283,0.8815280464216635,0.818577648766328,0.5771649733913885,0.7460087082728593,0.7822187380396936,0.1146236862930242,16
18,0.24793081283569335,0.014018464538675352,0.05669670104980469,0.008076570166032679,0.5,0.1,False,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.1, 'classifier__fit_prior': False}",0.8945841392649904,0.8849129593810445,0.8272859216255443,0.5834542815674891,0.7561683599419449,0.7892811323562026,0.1141399858192617,13
19,0.24355387687683105,0.013458103840342982,0.053758668899536136,0.008709722457643647,0.5,0.1,True,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.1, 'classifier__fit_prior': True}",0.8878143133462283,0.8815280464216635,0.818577648766328,0.5771649733913885,0.7460087082728593,0.7822187380396936,0.1146236862930242,16
20,0.29445476531982423,0.011051942117179903,0.0631443977355957,0.007217879726602406,0.5,0.5,False,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.5, 'classifier__fit_prior': False}",0.8945841392649904,0.8849129593810445,0.8272859216255443,0.5834542815674891,0.7561683599419449,0.7892811323562026,0.1141399858192617,13
21,0.28966946601867677,0.0335315369325811,0.06470470428466797,0.013231840043173513,0.5,0.5,True,"{'classifier__alpha': 0.5, 'classifier__binarize': 0.5, 'classifier__fit_prior': True}",0.8878143133462283,0.8815280464216635,0.818577648766328,0.5771649733913885,0.7460087082728593,0.7822187380396936,0.1146236862930242,16
22,0.2751899719238281,0.024532487279139377,0.05364413261413574,0.013198409370571816,0.5,,False,"{'classifier__alpha': 0.5, 'classifier__binarize': None, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
23,0.2707971572875977,0.010110697389735229,0.0495877742767334,0.011857447118383919,0.5,,True,"{'classifier__alpha': 0.5, 'classifier__binarize': None, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
24,0.24285268783569336,0.013145020851495805,0.05147714614868164,0.01102356249977925,1,0.0,False,"{'classifier__alpha': 1, 'classifier__binarize': 0.0, 'classifier__fit_prior': False}",0.6295938104448743,0.6397485493230174,0.6071601354620223,0.38316400580551524,0.41944847605224966,0.5358229954175358,0.11093265517605132,19
25,0.2576306819915771,0.024233623287645792,0.05875978469848633,0.013544627360190785,1,0.0,True,"{'classifier__alpha': 1, 'classifier__binarize': 0.0, 'classifier__fit_prior': True}",0.6179883945841392,0.6315280464216635,0.5974842767295597,0.37929366231253026,0.41509433962264153,0.5282777439341069,0.10817107707104466,22
26,0.2562242984771729,0.013385690420689544,0.05421814918518066,0.01149080854874668,1,0.1,False,"{'classifier__alpha': 1, 'classifier__binarize': 0.1, 'classifier__fit_prior': False}",0.6295938104448743,0.6397485493230174,0.6071601354620223,0.38316400580551524,0.41944847605224966,0.5358229954175358,0.11093265517605132,19
27,0.2503635406494141,0.01562889778376643,0.05934276580810547,0.009086884626083156,1,0.1,True,"{'classifier__alpha': 1, 'classifier__binarize': 0.1, 'classifier__fit_prior': True}",0.6179883945841392,0.6315280464216635,0.5974842767295597,0.37929366231253026,0.41509433962264153,0.5282777439341069,0.10817107707104466,22
28,0.2597490787506104,0.00805166998421319,0.04660019874572754,0.012321789851647563,1,0.5,False,"{'classifier__alpha': 1, 'classifier__binarize': 0.5, 'classifier__fit_prior': False}",0.6295938104448743,0.6397485493230174,0.6071601354620223,0.38316400580551524,0.41944847605224966,0.5358229954175358,0.11093265517605132,19
29,0.24453387260437012,0.012553317353345148,0.061826896667480466,0.011277756422543042,1,0.5,True,"{'classifier__alpha': 1, 'classifier__binarize': 0.5, 'classifier__fit_prior': True}",0.6179883945841392,0.6315280464216635,0.5974842767295597,0.37929366231253026,0.41509433962264153,0.5282777439341069,0.10817107707104466,22
30,0.2605607986450195,0.035896415398119344,0.05208983421325684,0.014325221443342752,1,,False,"{'classifier__alpha': 1, 'classifier__binarize': None, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
31,0.2582883358001709,0.007985383858353968,0.054995393753051756,0.009052779527686397,1,,True,"{'classifier__alpha': 1, 'classifier__binarize': None, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
32,0.2675147533416748,0.018057734384587878,0.05572066307067871,0.009100469174427465,10,0.0,False,"{'classifier__alpha': 10, 'classifier__binarize': 0.0, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
33,0.24444456100463868,0.014511314595825277,0.056946849822998045,0.0086378169306634,10,0.0,True,"{'classifier__alpha': 10, 'classifier__binarize': 0.0, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
34,0.24739556312561034,0.017397759580429453,0.04970874786376953,0.010473643261326219,10,0.1,False,"{'classifier__alpha': 10, 'classifier__binarize': 0.1, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
35,0.2466825008392334,0.017104261542976156,0.0491121768951416,0.00042820334167518537,10,0.1,True,"{'classifier__alpha': 10, 'classifier__binarize': 0.1, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
36,0.24987082481384276,0.01829922832864335,0.053019237518310544,0.016185874989272323,10,0.5,False,"{'classifier__alpha': 10, 'classifier__binarize': 0.5, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
37,0.246810245513916,0.01964873535237469,0.056320810317993165,0.012885401577708875,10,0.5,True,"{'classifier__alpha': 10, 'classifier__binarize': 0.5, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
38,0.2672139644622803,0.027248969185735106,0.05611143112182617,0.01191117639685895,10,,False,"{'classifier__alpha': 10, 'classifier__binarize': None, 'classifier__fit_prior': False}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
39,0.2740139961242676,0.024222957527532125,0.0547429084777832,0.012254963555579191,10,,True,"{'classifier__alpha': 10, 'classifier__binarize': None, 'classifier__fit_prior': True}",0.1339458413926499,0.1339458413926499,0.1340106434446057,0.1340106434446057,0.1340106434446057,0.13398472262382338,3.174639231540863e-05,25
