,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__dual,param_classifier__loss,param_classifier__max_iter,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.28895106315612795,0.03865744711914161,0.0,0.0,0.01,False,hinge,1000,l2,"{'classifier__C': 0.01, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,31
1,0.32247424125671387,0.012869408488408928,0.0,0.0,0.01,False,hinge,5000,l2,"{'classifier__C': 0.01, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",,,,,,,,31
2,0.6586984157562256,0.09016763247025757,0.07841382026672364,0.0012049403317751163,0.01,False,squared_hinge,1000,l2,"{'classifier__C': 0.01, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.940522243713733,0.9550290135396519,0.94581519109821,0.8577648766328012,0.8800193517174649,0.9158301353403722,0.03924115780470355,27
3,0.6310311317443847,0.034021625424129814,0.07580742835998536,0.024514205557620464,0.01,False,squared_hinge,5000,l2,"{'classifier__C': 0.01, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.940522243713733,0.9550290135396519,0.94581519109821,0.8577648766328012,0.8800193517174649,0.9158301353403722,0.03924115780470355,27
4,0.5014607429504394,0.04098162916778488,0.07191967964172363,0.020240218580709842,0.01,True,hinge,1000,l2,"{'classifier__C': 0.01, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9695357833655706,0.9787234042553191,0.9714562167392357,0.9182389937106918,0.9254958877600387,0.9526900571661712,0.025456162396849197,25
5,0.4350428581237793,0.017309180175631957,0.06053323745727539,0.01711298386925234,0.01,True,hinge,5000,l2,"{'classifier__C': 0.01, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9695357833655706,0.9787234042553191,0.9714562167392357,0.9182389937106918,0.9254958877600387,0.9526900571661712,0.025456162396849197,25
6,0.4343987464904785,0.04611970520408755,0.054971504211425784,0.009736293495366552,0.01,True,squared_hinge,1000,l2,"{'classifier__C': 0.01, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.940522243713733,0.9550290135396519,0.94581519109821,0.8577648766328012,0.8800193517174649,0.9158301353403722,0.03924115780470355,27
7,0.49473204612731936,0.011015721656146277,0.06150431632995605,0.01733026985759401,0.01,True,squared_hinge,5000,l2,"{'classifier__C': 0.01, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.940522243713733,0.9550290135396519,0.94581519109821,0.8577648766328012,0.8800193517174649,0.9158301353403722,0.03924115780470355,27
8,0.2932131290435791,0.010403992594841973,0.0,0.0,0.05,False,hinge,1000,l2,"{'classifier__C': 0.05, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,31
9,0.27306160926818845,0.017912953073867102,0.0,0.0,0.05,False,hinge,5000,l2,"{'classifier__C': 0.05, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",,,,,,,,31
10,0.6503059387207031,0.05001393310522185,0.07007522583007812,0.019395624517805143,0.05,False,squared_hinge,1000,l2,"{'classifier__C': 0.05, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9763056092843327,0.9864603481624759,0.972907595549105,0.9148524431543299,0.9172714078374455,0.9535594807975378,0.030949190558761094,21
11,0.7256447315216065,0.05926418053674721,0.07026934623718262,0.019924226556628417,0.05,False,squared_hinge,5000,l2,"{'classifier__C': 0.05, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9763056092843327,0.9864603481624759,0.972907595549105,0.9148524431543299,0.9172714078374455,0.9535594807975378,0.030949190558761094,21
12,0.507241153717041,0.048110222069879506,0.048726224899291994,0.012159352787428076,0.05,True,hinge,1000,l2,"{'classifier__C': 0.05, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.973404255319149,0.9850096711798839,0.9748427672955975,0.926463473633285,0.9342041606192549,0.9587848656094341,0.023698973084692928,15
13,0.48763227462768555,0.05482366623732314,0.053261852264404295,0.012500382574910748,0.05,True,hinge,5000,l2,"{'classifier__C': 0.05, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.973404255319149,0.9850096711798839,0.9748427672955975,0.926463473633285,0.9342041606192549,0.9587848656094341,0.023698973084692928,15
14,0.42952594757080076,0.03948415327854899,0.05001978874206543,0.009873759031983138,0.05,True,squared_hinge,1000,l2,"{'classifier__C': 0.05, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9763056092843327,0.9864603481624759,0.972907595549105,0.9148524431543299,0.9172714078374455,0.9535594807975378,0.030949190558761094,21
