,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,39.40783486366272,1.559142037071273,0.41365818977355956,0.0721365836475996,True,,sqrt,1,2,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.9487427466150871,0.9642166344294004,0.9516207063376875,0.8471214320270924,0.8384131591678762,0.9100229357154287,0.05522882312813171,35
1,53.40762357711792,2.740435905624977,0.5596701622009277,0.10998561625123077,True,,sqrt,1,2,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.9492263056092843,0.9647001934235977,0.9477503628447025,0.8471214320270924,0.837929366231253,0.9093455320271859,0.05495753456579703,36
2,21.73371214866638,0.5841307580926297,0.4253805160522461,0.07467137549288332,True,,sqrt,1,10,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.9497098646034816,0.965183752417795,0.9506531204644412,0.8538945331398161,0.8447024673439768,0.9128287475939022,0.052242469694770886,33
3,28.933678579330444,1.033090371547008,0.5526883602142334,0.12144326021073194,True,,sqrt,1,10,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 400}",0.9482591876208898,0.9647001934235977,0.949685534591195,0.8505079825834543,0.8476052249637155,0.9121516246365704,0.051846077766816705,34
4,16.71567521095276,0.6044234779437454,0.4139733791351318,0.09271963820252409,True,,sqrt,1,20,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 300}",0.9511605415860735,0.9695357833655706,0.95355587808418,0.8572810836961781,0.8505079825834543,0.9164082538630913,0.05147634385805936,30
5,22.311554956436158,0.7403751284303355,0.5533307552337646,0.10316985289670252,True,,sqrt,1,20,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 400}",0.9511605415860735,0.9690522243713733,0.9545234639574263,0.8582486695694242,0.849540396710208,0.9165050592389011,0.05154741328606072,29
6,6.092588424682617,0.28078986202802075,0.2272120952606201,0.017372963738252388,True,,sqrt,2,2,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.9574468085106383,0.9709864603481625,0.9501693275278181,0.8534107402031931,0.8630865989356555,0.9190199871050936,0.05016080849542715,24
7,7.866399717330933,0.20982626033331747,0.2881797790527344,0.009938827316235507,True,,sqrt,2,2,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",0.9555125725338491,0.968568665377176,0.949685534591195,0.8567972907595549,0.8587324625060474,0.9178593051535644,0.049450318021696034,28
8,5.923494958877564,0.26930084734710485,0.2297492504119873,0.019417359858258494,True,,sqrt,2,10,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.9584139264990329,0.9695357833655706,0.9506531204644412,0.8558297048863086,0.8606676342525399,0.9190200338935786,0.050004783989617094,23
9,7.726087999343872,0.30101936766175164,0.2830348968505859,0.014962474548059265,True,,sqrt,2,10,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 400}",0.956963249516441,0.968568665377176,0.9516207063376875,0.8572810836961781,0.8635703918722787,0.9196008193599521,0.048666687889122075,20
10,5.64306263923645,0.12658818530221674,0.22449789047241211,0.009834018240244357,True,,sqrt,2,20,300,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 300}",0.9593810444874274,0.9680851063829787,0.9521044992743106,0.8558297048863086,0.8635703918722787,0.9197941493806608,0.04938756639170705,19
11,7.24395899772644,0.2519900910394156,0.2855552673339844,0.014008332288938469,True,,sqrt,2,20,400,"{'classifier__bootstrap': True, 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 400}",0.9564796905222437,0.9695357833655706,0.9525882922109338,0.8553459119496856,0.8635703918722787,0.9195040139841424,0.049416151626550185,21
